'index', 'num_nodes', 'num_edges', 'density', 'avg_degree', 'avg_degree_central', 'min_degree_central', 'max_degree_central', 'avg_eigen_central', 'min_eigen_central', 'max_eigen_central', 'avg_btwn_central', 'min_btwn_central', 'max_btwn_central', 'max_clique_size', 'clustering_coefficient', 'transitivity', 'num_strongly_connected_components', 'vertex_cover_size', 'avg_shortest_path_len'
0,4,4,0.333,1.0,0.667,0.333,1.0,-1,-1,-1,0.0,0.0,0.0,2,0.292,0.5,4,2,0.333
1,19,32,0.094,0.95,0.187,0.056,1.056,0.099,0.0,0.707,0.009,0.0,0.108,2,0.222,0.4,17,8,0.345
2,25,56,0.093,1.389,0.187,0.042,0.708,0.113,0.0,0.565,0.011,0.0,0.064,3,0.227,0.41,14,15,0.478
3,18,41,0.134,1.125,0.268,0.059,0.882,0.137,0.0,0.726,0.029,0.0,0.153,4,0.27,0.312,8,13,0.83
4,24,47,0.085,1.412,0.17,0.043,0.696,-1,-1,-1,0.019,0.0,0.099,2,0.143,0.244,15,12,0.69
5,15,27,0.129,1.154,0.257,0.071,0.857,0.159,0.0,0.762,0.005,0.0,0.027,2,0.219,0.233,10,10,0.252
6,22,41,0.089,1.375,0.177,0.048,0.714,0.103,0.0,0.614,0.008,0.0,0.045,3,0.203,0.379,16,14,0.359
7,18,33,0.108,1.385,0.216,0.059,0.706,0.14,0.0,0.55,0.028,0.0,0.101,2,0.064,0.28,13,10,0.745
8,17,36,0.132,1.214,0.265,0.062,0.812,0.158,0.0,0.667,0.047,0.0,0.281,3,0.215,0.29,10,12,1.188
9,20,36,0.095,1.538,0.189,0.053,0.632,-1,-1,-1,0.022,0.0,0.096,3,0.111,0.25,13,12,0.674
10,13,22,0.141,1.3,0.282,0.083,0.75,-1,-1,-1,0.01,0.0,0.068,2,0.168,0.308,8,10,0.34
11,21,51,0.121,1.312,0.243,0.05,0.75,0.145,0.0,0.759,0.048,0.0,0.214,2,0.16,0.215,10,13,1.433
12,18,36,0.118,1.286,0.235,0.059,0.765,0.15,0.0,0.611,0.023,0.0,0.143,2,0.202,0.227,10,10,0.709
13,21,53,0.126,1.4,0.252,0.05,0.7,0.149,0.0,0.653,0.041,0.0,0.275,2,0.228,0.269,9,13,1.302
14,8,9,0.161,1.143,0.321,0.143,0.857,0.177,0.0,0.707,0.003,0.0,0.024,2,0.087,0.5,8,2,0.179
15,12,13,0.098,1.091,0.197,0.091,0.909,0.118,0.0,0.707,0.001,0.0,0.009,2,0.084,0.5,12,5,0.106
16,20,27,0.071,1.25,0.142,0.053,0.789,0.105,0.0,0.919,0.001,0.0,0.004,2,0.114,0.273,17,10,0.103
17,14,27,0.148,1.4,0.297,0.077,0.692,0.153,0.0,0.576,0.012,0.0,0.064,3,0.242,0.417,8,10,0.396
18,22,44,0.095,1.467,0.19,0.048,0.667,-1,-1,-1,0.014,0.0,0.073,2,0.09,0.122,12,14,0.552
